time, step, color, speed, distance, stop, deviation, integral, derivative
18931,0,67,130,2047, False,29.5,0,60
19078,0,73,130,1366, False,35.5,35.5,6
19219,0,7,130,2550, False,-30.5,0,-66
19362,0,5,130,2382, False,-32.5,-32.5,-2
19507,0,47,130,2340, False,9.5,0,42
19658,0,61,130,2550, False,23.5,23.5,14
19807,0,26,130,1280, False,-11.5,0,-35
19950,0,18,130,1250, False,-19.5,-19.5,-8
20086,0,73,130,2550, False,35.5,0,55
20219,0,71,130,2230, False,33.5,33.5,-2
20358,0,64,130,2230, False,26.5,60,-7
20500,0,67,130,2227, False,29.5,89.5,3
20643,0,71,130,2227, False,33.5,123,4
20788,0,74,80,336, False,36.5,159.5,3
20928,0,78,80.5,2163, False,40.5,200,4
21077,0,78,81,1122, False,40.5,240.5,0
21209,0,80,81.5,1114, False,42.5,283,2
21349,0,80,82,1062, False,42.5,325.5,0
21480,0,32,82.5,1080, False,-5.5,0,-48
21619,0,5,83,1076, False,-32.5,-32.5,-27
21768,0,15,83.5,1066, False,-22.5,-55,10
21919,0,88,84,1046, False,50.5,0,73
22068,0,79,84.5,1042, False,41.5,41.5,-9
22210,0,37,85,1024, False,-0.5,0,-42
22352,0,34,85.5,1028, False,-3.5,0,-3
22488,0,75,86,1001, False,37.5,0,41
22628,0,74,86.5,998, False,36.5,36.5,-1
22779,0,30,87,979, False,-7.5,0,-44
22942,0,26,87.5,2550, False,-11.5,-11.5,-4
23082,0,79,88,1906, False,41.5,0,53
23228,0,78,88.5,960, False,40.5,40.5,-1
23369,0,70,89,2550, False,32.5,73,-8
23519,0,59,89.5,2550, False,21.5,94.5,-11
23657,0,56,90,2550, False,18.5,113,-3
23790,0,63,90.5,2550, False,25.5,138.5,7
23932,0,52,91,2550, False,14.5,153,-11
24069,0,25,91.5,2550, False,-12.5,0,-27
24221,0,53,92,871, False,15.5,0,28
24362,0,78,92.5,856, False,40.5,40.5,25
24508,0,78,93,864, False,40.5,81,0
24648,0,77,93.5,1152, False,39.5,120.5,-1
24798,0,66,94,2550, False,28.5,149,-11
24967,0,45,94.5,2550, False,7.5,0,-21
25110,0,58,95,2550, False,20.5,20.5,13
25250,0,76,95.5,2550, False,38.5,59,18
25387,0,69,96,2550, False,31.5,90.5,-7
25528,0,20,96.5,2550, False,-17.5,0,-49
25672,0,11,97,2494, False,-26.5,-26.5,-9
25826,0,75,97.5,2473, False,37.5,0,64
25968,0,77,98,2457, False,39.5,39.5,2
26112,0,55,98.5,2456, False,17.5,57,-22
26254,0,30,99,2443, False,-7.5,0,-25
26389,0,40,99.5,2430, False,2.5,0,10
26539,0,69,100,2416, False,31.5,31.5,29
26680,0,59,100.5,2405, False,21.5,53,-10
26827,0,6,101,2390, False,-31.5,0,-53
26969,0,4,101.5,2378, False,-33.5,-33.5,-2
27109,0,70,102,2354, False,32.5,0,66
27251,0,77,102.5,2340, False,39.5,39.5,7
27390,0,21,103,2340, False,-16.5,0,-56
27527,0,6,103.5,2340, False,-31.5,-31.5,-15
27667,0,25,104,2320, False,-12.5,-44,19
27812,0,61,104.5,2306, False,23.5,0,36
27952,0,55,105,2291, False,17.5,17.5,-6
28108,0,15,105.5,2282, False,-22.5,0,-40
28250,0,19,106,2265, False,-18.5,-18.5,4
28392,0,71,106.5,2252, False,33.5,0,52
28532,0,72,107,2230, False,34.5,34.5,1
28672,0,7,107.5,2550, False,-30.5,0,-65
28817,0,5,108,2550, False,-32.5,-32.5,-2
28977,0,66,108.5,2550, False,28.5,0,61
29118,0,67,109,2550, False,29.5,29.5,1
29257,0,13,109.5,2550, False,-24.5,0,-54
29400,0,5,110,2550, False,-32.5,-32.5,-8
29542,0,35,110.5,2550, False,-2.5,0,30
29692,0,57,111,2550, False,19.5,0,22
29860,0,21,111.5,2550, False,-16.5,0,-36
30002,0,6,112,2550, False,-31.5,-31.5,-15
30138,0,49,112.5,2550, False,11.5,0,43
30271,0,70,113,2550, False,32.5,32.5,21
30418,0,24,113.5,2550, False,-13.5,0,-46
30558,0,6,114,2550, False,-31.5,-31.5,-18
30710,0,22,114.5,2550, False,-15.5,-47,16
30868,0,61,115,2550, False,23.5,0,39
31017,0,55,115.5,2550, False,17.5,17.5,-6
31171,0,10,116,2550, False,-27.5,0,-45
31319,0,9,116.5,2550, False,-28.5,-28.5,-1
31460,0,74,117,2550, False,36.5,0,65
31597,0,76,117.5,2550, False,38.5,38.5,2
31754,0,6,118,2550, False,-31.5,0,-70
31922,0,5,118.5,2550, False,-32.5,-32.5,-1
32058,0,75,119,2550, False,37.5,0,70
32197,0,77,119.5,2550, False,39.5,39.5,2
32348,0,30,120,2550, False,-7.5,0,-47
32492,0,14,120.5,2550, False,-23.5,-23.5,-16
32632,0,63,121,2550, False,25.5,0,49
32780,0,74,121.5,1824, False,36.5,36.5,11
32927,0,29,122,2550, False,-8.5,0,-45
33068,0,5,122.5,2550, False,-32.5,-32.5,-24
33212,0,29,123,2550, False,-8.5,0,24
33358,0,70,123.5,1786, False,32.5,0,41
33501,0,38,124,1764, False,0.5,0,-32
33638,0,5,124.5,1764, False,-32.5,0,-33
33781,0,10,125,2550, False,-27.5,-27.5,5
33925,0,64,125.5,1738, False,26.5,0,54
34067,0,74,126,2550, False,36.5,36.5,10
34218,0,16,126.5,2550, False,-21.5,0,-58
34371,0,5,127,1680, False,-32.5,-32.5,-11
34562,0,45,127.5,1672, False,7.5,0,40
34701,0,72,128,1640, False,34.5,34.5,27
34840,0,46,128.5,2550, False,8.5,0,-26
34990,0,6,129,2550, False,-31.5,0,-40
35131,0,26,129.5,1573, False,-11.5,-11.5,20
35270,0,76,130,1571, False,38.5,0,50
35403,0,54,130,1572, False,16.5,16.5,-22
