time, color, distance, speed, stop, step, deviation, integral, derivative, frontID, frontTime, frontStep, frontSpeed, frontDistance
0,46,2550,94.5, False,0,8.5,0,8.5,2, None, None, None, None
204,48,2550,99.225, False,0,10.5,10.5,2,2,141,0,94.5,687
409,40,1549,104.18625, False,0,2.5,0,-8,2,413,0,104.1862488,687
610,53,2550,109.3955625, False,0,15.5,15.5,13,2,555,0,109.3955612,687
815,59,1529,114.8653406, False,0,21.5,37,6,2,706,0,114.8653412,687
1015,55,1467,120.6086077, False,0,17.5,54.5,-4,2,974,0,126.6390381,687
1216,61,2550,126.639038, False,0,23.5,78,6,2,1271,0,139.6195374,365
1424,60,2550,132.9709899, False,0,22.5,100.5,-1,2,1421,0,146.6005096,2550
1627,61,2550,90, False,0,23.5,124,1,2,1691,0,153.930542,2550
1834,60,2550,90, False,0,22.5,146.5,-1,2,1827,0,165,2550
2034,30,2550,90, False,0,-7.5,0,-30,2,2091,0,165,1122
2237,61,2550,94.5, False,0,23.5,0,31,2,2221,0,165,1791
2438,69,2550,99.225, False,0,31.5,31.5,8,2,2493,0,165,899
2643,69,2550,104.18625, False,0,31.5,63,0,2,2634,0,165,2550
2844,54,2550,109.3955625, False,0,16.5,79.5,-15,2,2791,0,165,1290
3054,35,2550,114.8653406, False,0,-2.5,0,-19,2,3082,0,165,1210
3254,64,2550,120.6086077, False,0,26.5,0,29,2,3231,0,165,1183
3464,64,2550,126.639038, False,0,26.5,26.5,0,2,3531,0,165,1155
3683,64,2550,132.9709899, False,0,26.5,53,0,2,3684,0,165,1534
3884,67,2550,139.6195394, False,0,29.5,82.5,3,2,3823,0,165,1466
4096,69,2550,146.6005164, False,0,31.5,114,2,2,4104,0,90,1426
4304,61,2550,90, False,0,23.5,137.5,-8,2,4268,0,90,2550
4506,50,2550,90, False,0,12.5,150,-11,2,4426,0,90,1397
4707,17,2550,90, False,0,-20.5,0,-33,2,4722,0,94.5,1351
4907,54,2550,94.5, False,0,16.5,0,37,2,4882,0,104.1862488,2550
5114,70,2550,99.225, False,0,32.5,32.5,16,2,5031,0,109.3955612,2550
5317,70,1908,104.18625, False,0,32.5,65,0,2,5371,0,114.8653412,1397
5518,57,2550,109.3955625, False,0,19.5,84.5,-13,2,5505,0,94.5,2550
5718,40,2550,114.8653406, False,0,2.5,0,-17,2,5672,0,99.22499847,2550
5918,55,2550,120.6086077, False,0,17.5,17.5,15,2,5944,0,109.3955612,2550
6127,54,2550,126.639038, False,0,16.5,34,-1,2,6073,0,114.8653412,2550
6334,27,2550,132.9709899, False,0,-10.5,0,-27,2,6360,0,126.6390381,2550
6544,64,2550,139.6195394, False,0,26.5,0,37,2,6492,0,90,2550
6767,26,2550,146.6005164, False,0,-11.5,0,-38,2,6755,0,90,1210
6967,40,1295,153.9305422, False,0,2.5,0,14,2,7034,0,90,2550
7167,52,1271,161.6270693, False,0,14.5,14.5,12,2,7201,0,94.5,893
7368,25,2550,165, False,0,-12.5,0,-27,2,7341,0,99.22499847,2550
7568,47,1215,165, False,0,9.5,0,22,2,7633,0,109.3955612,2550
7773,41,2550,165, False,0,3.5,0,-6,2,7773,0,114.8653412,1702
7993,38,2550,165, False,0,0.5,0,-3,2,8047,0,120.6086044,1162
8198,36,2550,165, False,0,-1.5,0,-2,2,8183,0,90,1196
8398,35,1152,165, False,0,-2.5,0,-1,2,8338,0,90,1202
8613,40,1100,165, False,0,2.5,0,5,2,8612,0,90,2550
8814,39,2550,165, False,0,1.5,0,-1,2,8762,0,94.5,2550
9023,39,1623,165, False,0,1.5,0,0,2,9044,0,104.1862488,2550
9224,49,2550,165, False,0,11.5,11.5,10,2,9193,0,109.3955612,1227
9436,18,1460,165, False,0,-19.5,0,-31,2,9514,0,114.8653412,1271
9636,49,1406,165, False,0,11.5,0,31,2,9655,0,126.6390381,2550
9838,53,2550,165, False,0,15.5,15.5,4,2,9791,0,132.970993,2550
10038,18,1740,165, False,0,-19.5,0,-35,2,10083,0,146.6005096,2271
10238,46,2550,165, False,0,8.5,0,28,2,10221,0,153.930542,2238
10439,54,1539,165, False,0,16.5,16.5,8,2,10391,0,161.6270752,1227
10644,11,1539,165, False,0,-26.5,0,-43,2,10682,0,165,2550
10845,42,1539,165, False,0,4.5,0,31,2,10821,0,165,1155
11078,52,1756,165, False,0,14.5,14.5,10,2,11096,0,165,1119
11282,16,349,165, False,0,-21.5,0,-36,2,11242,0,165,2290
11486,57,2550,165, False,0,19.5,0,41,2,11548,0,165,2116
11687,45,2550,165, False,0,7.5,0,-12,2,11699,0,165,2100
11887,15,1601,165, False,0,-22.5,0,-30,2,11840,0,165,1031
12094,60,2550,165, False,0,22.5,0,45,2,12132,0,165,2550
12296,55,2550,165, False,0,17.5,17.5,-5,2,12265,0,165,2550
12497,10,2550,165, False,0,-27.5,0,-45,2,12422,0,165,2550
12698,34,1349,165, False,0,-3.5,0,24,2,12719,0,165,970
12905,66,1206,165, False,0,28.5,0,32,2,12866,0,165,2550
13105,63,2550,165, False,0,25.5,25.5,-3,2,13141,0,165,2550
13313,71,2550,165, False,0,33.5,59,8,2,13284,0,165,1762
13515,69,2550,165, False,0,31.5,90.5,-2,2,13562,0,165,1722
13724,65,2550,165, False,0,27.5,118,-4,2,13699,0,165,1694
13932,67,1307,90, False,0,29.5,147.5,2,2,13982,0,165,1611
14134,77,1744,90, False,0,39.5,187,10,2,14111,0,165,1603
14343,22,2550,90, False,0,-15.5,0,-55,2,14262,0,165,1564
14543,23,2550,94.5, False,0,-14.5,-14.5,1,2,14582,0,165,1519
14756,63,2550,99.225, False,0,25.5,0,40,2,14721,0,165,1472
