time, step, color, speed, distance, stop, deviation, integral, derivative, front_id, front_time, front_step, front_speed, front_distance
1,0,53,94.5,687, False,13,13,13,1, None,0, None, None
141,0,52,99.225,687, False,12,25,-1,1,256,0,90,1980
283,0,54,104.18625,687, False,14,39,2,1,256,0,90.5,2336
413,0,49,109.3955625,687, False,9,0,-5,1,418,0,91,2049
555,0,22,114.8653406,687, False,-18,0,-27,1,558,0,91.5,2019
706,0,19,120.6086077,687, False,-21,-21,-3,1,693,0,92,2282
836,0,48,126.639038,687, False,8,0,29,1,837,0,92.5,1936
974,0,62,132.9709899,687, False,22,22,14,1,981,0,93,1946
1123,0,67,139.6195394,687, False,27,49,5,1,1127,0,93.5,1919
1271,0,17,146.6005164,365, False,-23,0,-50,1,1268,0,94,1927
1421,0,5,153.9305422,2550, False,-35,-35,-12,1,1417,0,94.5,1885
1562,0,27,161.6270693,2550, False,-13,-48,22,1,1557,0,95,1862
1691,0,71,165,2550, False,31,0,44,1,1726,0,95.5,1831
1827,0,62,165,2550, False,22,22,-9,1,1877,0,96,1843
1961,0,36,165,1122, False,-4,0,-26,1,2040,0,96.5,1807
2091,0,10,165,1920, False,-30,-30,-26,1,2199,0,96.5,1807
2221,0,20,165,1791, False,-20,-50,10,1,2336,0,97,1795
2361,0,69,165,1007, False,29,0,49,1,2336,0,97.5,1762
2493,0,74,165,899, False,34,34,5,1,2481,0,98,1748
2634,0,69,165,2550, False,29,63,-5,1,2628,0,98.5,1740
2791,0,27,165,1290, False,-13,0,-42,1,2778,0,99,1722
2942,0,19,165,1965, False,-21,-21,-8,1,2930,0,99.5,1708
3082,0,36,165,1210, False,-4,0,17,1,3077,0,100,1692
3231,0,74,165,1183, False,34,0,38,1,3247,0,100.5,1676
3383,0,76,165,1155, False,36,36,2,1,3391,0,101,1662
3531,0,80,165,2550, False,40,76,4,1,3537,0,101.5,1640
3684,0,79,165,1534, False,39,115,-1,1,3677,0,102,1628
3823,0,78,90,1466, False,38,153,-1,1,3817,0,102.5,1607
3955,0,73,90,1452, False,33,186,-5,1,3967,0,103,1588
4104,0,70,90,1426, False,30,216,-3,1,4116,0,103.5,1573
4268,0,18,90,2550, False,-22,0,-52,1,4270,0,104,1558
4426,0,5,94.5,1397, False,-35,-35,-13,1,4418,0,104.5,1547
4586,0,66,99.225,1351, False,26,0,61,1,4570,0,105,1528
4722,0,82,104.18625,1376, False,42,42,16,1,4720,0,105.5,1511
4882,0,87,109.3955625,2550, False,47,89,5,1,4864,0,106,1499
5031,0,77,114.8653406,2550, False,37,126,-10,1,5159,0,107,1464
5205,0,9,90,1397, False,-31,0,-68,1,5307,0,107.5,1452
5371,0,5,94.5,1389, False,-35,-35,-4,1,5458,0,108,1430
5505,0,9,99.225,2550, False,-31,-66,4,1,5617,0,108.5,1413
5672,0,67,104.18625,2550, False,27,0,58,1,5758,0,109,1397
5813,0,70,109.3955625,2550, False,30,30,3,1,5912,0,109.5,1385
5944,0,75,114.8653406,2550, False,35,65,5,1,6051,0,109.5,1385
6073,0,74,120.6086077,2550, False,34,99,-1,1,6051,0,110,1381
6214,0,73,126.639038,1337, False,33,132,-1,1,6197,0,110.5,1352
6360,0,71,90,2550, False,31,163,-2,1,6469,0,111,1352
6492,0,70,90,2550, False,30,193,-1,1,6469,0,111.5,1352
6624,0,70,90,2550, False,30,223,0,1,6611,0,112,1352
6755,0,66,90,1210, False,26,249,-4,1,6749,0,112.5,1352
6893,0,31,90,2550, False,-9,0,-35,1,6887,0,113,1352
7034,0,5,94.5,893, False,-35,-35,-26,1,7027,0,113.5,1352
7201,0,27,99.225,2420, False,-13,-48,22,1,7311,0,114.5,1227
7341,0,77,104.18625,2550, False,37,0,50,1,7448,0,114.5,1227
7471,0,71,109.3955625,2550, False,31,31,-6,1,7448,0,115,1219
7633,0,66,114.8653406,1271, False,26,57,-5,1,7598,0,115.5,1219
7773,0,66,120.6086077,1702, False,26,83,0,1,7877,0,116.5,1210
7910,0,65,126.639038,1162, False,25,108,-1,1,7877,0,116.5,1183
8047,0,66,90,1201, False,26,134,1,1,8028,0,117,1164
8183,0,66,90,1196, False,26,160,0,1,8178,0,117.5,1162
8338,0,69,90,1202, False,29,189,3,1,8317,0,118,1148
8486,0,40,90,1254, False,0,0,-29,1,8600,0,119,1138
8612,0,5,94.5,2550, False,-35,-35,-35,1,8600,0,119,1817
8762,0,4,99.225,2550, False,-36,-71,-1,1,8871,0,120,1779
8901,0,27,104.18625,1237, False,-13,-84,23,1,9012,0,120,1779
9044,0,71,109.3955625,2550, False,31,0,44,1,9012,0,120.5,1756
9193,0,77,114.8653406,1227, False,37,37,6,1,9159,0,121,1741
9341,0,17,120.6086077,1271, False,-23,0,-60,1,9297,0,121.5,1726
9514,0,13,126.639038,2354, False,-27,-27,-4,1,9618,0,122,1714
9655,0,32,132.9709899,2550, False,-8,0,19,1,9618,0,122.5,1687
9791,0,59,139.6195394,2550, False,19,0,27,1,9771,0,123,1666
9931,0,61,146.6005164,2271, False,21,21,2,1,9921,0,123.5,1649
10083,0,49,153.9305422,2253, False,9,0,-12,1,10208,0,124,1633
10221,0,26,161.6270693,2238, False,-14,0,-23,1,10208,0,124.5,1619
10391,0,25,165,1227, False,-15,-15,-1,1,10492,0,125.5,1607
10541,0,59,165,2550, False,19,0,34,1,10637,0,126,1607
10682,0,65,165,2265, False,25,25,6,1,10778,0,126.5,2550
10821,0,57,165,1155, False,17,42,-8,1,10778,0,126.5,2550
10965,0,26,165,1179, False,-14,0,-31,1,11078,0,127,2550
11096,0,8,165,1119, False,-32,-32,-18,1,11078,0,127.5,2550
11242,0,29,165,2290, False,-11,-43,21,1,11229,0,128,2550
11391,0,71,165,2116, False,31,0,42,1,11362,0,128.5,2550
11548,0,67,165,2550, False,27,27,-4,1,11644,0,129.5,2550
11699,0,7,165,2100, False,-33,0,-60,1,11791,0,130,2550
11840,0,5,165,1031, False,-35,-35,-2,1,11937,0,130,2550
11991,0,5,165,2550, False,-35,-70,0,1,12068,0,130,2550
12132,0,54,165,2108, False,14,0,49,1,12228,0,130,2550
12265,0,72,165,2550, False,32,32,18,1,12380,0,130,2550
